"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2018","2","",126377,1958136,1962481,1972098,22508125846,2589644208,34235728,881,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2277,1.8,23823,1.2,21900,1.1,24873,1.3,856061881,4.0,75211187,3.0,-2325691,-6.4,23,2.7
"01000","1","10","51","0","2018","2","",1195,52684,52576,52867,1075240226,0,0,1569,"",1.60,1.41,1.41,1.41,1.67,0.00,0.00,1.18,"",-16,-1.3,-458,-0.9,-446,-0.8,-159,-0.3,16907184,1.6,0,0.0,0,0.0,35,2.3
"01000","2","10","51","0","2018","2","",1380,97064,97141,95603,1286156030,2947,99,1024,"",1.56,1.55,1.57,1.56,1.66,0.00,0.00,1.07,"",2,0.1,480,0.5,428,0.4,666,0.7,33730270,2.7,918,45.2,87,725.0,21,2.1
"01000","3","10","51","0","2018","2","",3710,215166,216674,218541,2203714584,19960736,207643,782,"",1.72,1.10,1.11,1.14,1.03,0.49,1.05,0.93,"",-8,-0.2,1115,0.5,1513,0.7,1211,0.6,47210838,2.2,269438,1.4,9783,4.9,12,1.6
"01000","5","10","51","0","2018","2","",120092,1593222,1596090,1605087,17943015006,2569680525,34027986,864,"",0.98,0.96,0.96,0.95,0.95,1.02,1.00,0.99,"",2299,2.0,22686,1.4,20405,1.3,23155,1.5,758213589,4.4,74940831,3.0,-2335561,-6.4,25,3.0
"01000","8","10","96","0","2018","2","",6285,364914,366391,367011,4565110840,19963683,207742,959,"",1.66,1.24,1.24,1.26,1.29,0.34,0.84,1.03,"",-22,-0.3,1137,0.3,1495,0.4,1718,0.5,97848292,2.2,270356,1.4,9870,5.0,17,1.8
"01001","0","10","70","0","2018","2","",868,11003,11027,11033,101598186,13373769,158364,709,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.7,179,1.7,121,1.1,26,0.2,4304124,4.4,-107466,-0.8,-11055,-6.5,23,3.4
"01001","1","10","71","0","2018","2","",12,89,87,80,1138712,0,0,1026,"",2.34,0.42,0.42,0.38,0.39,0.00,0.00,0.96,"",0,0.0,7,8.5,1,1.2,-7,-8.0,42958,3.9,0,0.0,0,0.0,34,3.4
"01001","2","10","71","0","2018","2","",19,579,583,583,5806770,0,0,768,"",3.12,1.65,1.67,1.70,1.66,0.00,0.00,0.99,"",0,0.0,-4,-0.7,-3,-0.5,-6,-1.0,90387,1.6,0,0.0,0,0.0,18,2.4
"01001","3","10","71","0","2018","2","",32,1917,1929,1924,16985148,19878,117,679,"",2.17,1.75,1.75,1.79,1.77,0.09,0.13,1.00,"",0,0.0,-5,-0.3,-10,-0.5,-39,-2.0,-19635,-0.1,8515,74.9,50,74.6,5,0.7
